,대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
0,game-development,C# (programming language),retr0의 유니티 (Unity C#) 게임 프로그래밍 에센스,모든 수준,"₩88,000",,24시간 주문형 동영상,"배울 내용
혼자서 유니티 게임을 완성할 수 있는 능력
80% 이상의 유니티 에디터 사용법
중급의 유니티 C# 클라이언트 프로그래밍
프로그래밍에 필요한 컴퓨터 공학 기초 (OOP 위주)",한국어,https://www.udemy.com/course/retr0-unity/
1,game-development,Game Development Fundamentals,【한글자막】 C# Unity 게임 개발자 2D,모든 수준,"₩17,000","₩88,000",18시간 주문형 동영상,"배울 내용
기초부터 배우는 강력한 언어 C#, 프로그래밍 경험이 없어도 괜찮습니다.
유니티 게임 엔진 활용
나만의 게임을 만들 수 있는 게임 디자인 및 게임 개발 기초
객체 지향 프로그래밍 작동 방법
포트폴리오 혹은 단순 성취감을 위한 게임 프로젝트 제작
.NET 혹은 기타 프로그래밍 언어를 쉽게 배우기 위한 관련 지식
코딩 문제 해결 기술
여러분과 비슷한 사람들이 모인 커뮤니티의 일원이 됩니다.",한국어,https://www.udemy.com/course/best-c-unity-2d/
2,game-development,Game Development Fundamentals,유니티 (Unity) 로 시작하는 C# 프로그래밍,초급자,"₩59,000",,23시간 주문형 동영상,"배울 내용
게임을 만들기 위한 C#을 기본적인 기능의 습득
C#의 구조지향과 객체지향의 기본을 습득
유니티 API 를 사용하는 방법을 배움
중급 코스를 배울 수 있는 기초적인 능력 습득",한국어,https://www.udemy.com/course/unity-c-part-1/
3,game-development,Unreal Engine,【한글자막】 언리얼 C++ 멀티플레이어 마스터 : 중급 게임 개발,중급자,"₩17,000","₩88,000",24시간 주문형 동영상,"배울 내용
언리얼 엔진과 C++ 및 블루프린트를 사용하여 자신만의 로컬 & 온라인 멀티플레이어 게임 만들어보세요.
자신의 게임에 적용할 수 있는 기본적인 멀티플레이어 이론과 개념을 학습하세요.
Steam API를 사용하여 온라인에서 친구들과 함께 게임을 플레이하세요.
언리얼 모션 그래픽 UI 디자이너를 사용하여 유저 인터페이스를 만들어보세요.
근거리 통신망(LAN)을 사용하여 게임을 만들어보세요.
서버와 컴퓨터 네트워크가 연결되는 방식에 대한 이해를 획득하세요.
언리얼이 상태를 복제하는 방법과 이것이 멀티플레이어 게임에 중요한 이유를 이해해봅시다.",한국어,https://www.udemy.com/course/best-unreal-c/
4,game-development,Unity,[유니티 3D] 쉽고 재밌게! 생존 게임 제작하기 - Advanced,초급자,"₩17,000","₩88,000",25.5시간 주문형 동영상,"배울 내용
생존, 디펜스, FPS, 오픈월드, 로우폴리 게임을 만들 수 있게 된다.",한국어,https://www.udemy.com/course/keidyunitycourseadvanced/
5,game-development,Unreal Engine,【한글자막】 Unreal Engine 5 C++ 개발자: C++ 학습하고 비디오 게임 제작하기,모든 수준,"₩17,000","₩23,000",,"배울 내용
언리얼 엔진 5로 게임을 제작하는 방법
게임 업계의 표준 언어인 C++
객체 지향 프로그래밍과 활용법
게임 디자인 원칙
프로그래밍 패턴과 모범 사례
적 인공지능 행동 프로그래밍
간결하고 이해하기 쉬운 코드의 작성 방법
블루프린트와 C++의 사용 시기
C++를 사용해 언리얼에서 원하는 목표를 달성하는 방법
게임 제작이 쉬워지는 언리얼 게임플레이 프레임워크
강력하고 범용적인 문제 해결 능력
최신 게임 개발 기술 및 기법",한국어,https://www.udemy.com/course/unrealcourse-korean/
6,game-development,Unreal Engine,언리얼 엔진4 ( Unreal Engine ) 3D 횡스크롤 게임 만들기,초급자,"₩17,000","₩79,000",15.5시간 주문형 동영상,"배울 내용
횡스크롤 액션 게임이나 액션 RPG 게임
게임을 만들기 위한 블루프린트 기능 습득
애니메이션 처리
이펙트 처리
사운드 처리
몬스터 인공지능
HUD 사용법",한국어,https://www.udemy.com/course/4ue4-3d-t/
7,game-development,Game Theory,[게임기획]제임스킴의 RPG 게임밸런스 기획,모든 수준,"₩59,000",,4.5시간 주문형 동영상,"배울 내용
게임기획
게임밸런스 기획
RPG 밸런스
RPG 전투 밸런스
성장 밸런스",한국어,https://www.udemy.com/course/rpg-ppft/
8,game-development,Metaverse,"【한글자막】 메타버스 기초 과정: 블록체인, 암호화폐 및 NFT 완벽 마스터",모든 수준,"₩17,000","₩39,000",2.5시간 주문형 동영상,"배울 내용
블록체인 기술로 메타버스를 개발하기 위한 웹3.0으로의 진화
메타버스 관련 기술: 증강 현실(AR), 가상 현실(VR), 혼합 현실(MR) 및 인공 지능(AI)
메타버스 시장의 기회
메타버스의 블록체인 도입
메타버스에 적용된 블록체인, 스마트 계약, NFT 및 암호화폐
메타버스 구축 도구: Unity, Unreal Engine, Amazon Sumerian 및 Spark AR
메타버스 사용 사례
나만의 메타버스 아바타 만들기",한국어,https://www.udemy.com/course/metaverse-nft-blockchain/
9,game-development,Game Development Fundamentals,쉽게 해보는 메타버스(Metaverse) 로블록스 [게임 개발 기초],초급자,"₩119,000",,8시간 주문형 동영상,"배울 내용
로블록스 스튜디오를 활용하여 로블록스 게임제작을 할 수 있습니다.
로블록스 게임 개발 언어 루아를 배웁니다.
쉽고 재미있게 코딩을 배울 수 있습니다.
프로그래밍에 대한 이해를 할 수 있습니다.",한국어,https://www.udemy.com/course/basic-gamedev-roblox/
10,game-development,ROBLOX Game Development,나만의 메타버스(Metaverse)로블록스 [점프맵],초급자,"₩59,000",,4시간 주문형 동영상,"배울 내용
로블록스 스튜디오를 활용한 게임 디자인
나만의 점프맵 게임 제작
게임을 만들어 배포하는 방법
로블록스에서 수익창출하는 여러가지 방법",한국어,https://www.udemy.com/course/jumpmap-roblox/
11,game-development,Game Asset Creation,【한글자막】 블렌더에서 모듈 Kitbash 만들기,모든 수준,"₩17,000","₩69,000",32시간 주문형 동영상,"배울 내용
중세 성 kitbash 만들기 완벽 가이드
블렌더 2.9(최신 버전 소프트웨어) 사용하기 및 인터페이스와 단축키 이해하기
모든 학생들에게 독특한 성, 마을, 도시를 건설할 수 있는 멋진 65개의 중세 성 에셋 만들기
블렌더 2.9로 업계 표준 3D 모델링 전문 업무 흐름 배우기
블렌더 2.9에서의 효과적인 문제 해결
다음에 대한 강의 서론: (ㅁ) 블렌더 기초, (b) 메테리얼과 텍스처, (c) 씨임, 샤프, UV
버텍스 페인팅 알아보기
HDRI를 3D 모델을 넣는 배경으로 사용하는 방법
전체 성 씬을 위한 중세 유럽 감각 최적화 및 유지
씨임과 샤프 마크 및 노멀 수정하기
더 보기",한국어,https://www.udemy.com/course/blender-kitbash/
12,game-development,iOS Game Development,RPG 게임 어플 만들기 [아이폰],모든 수준,"₩29,000",,9시간 주문형 동영상,"배울 내용
아이폰 RPG 게임 어플 개발
아이폰 어플 개발
아이폰 게임 어플 개발",한국어,https://www.udemy.com/course/rpg-development-for-iphone/
